id,category,typst,typst_kind,docx,docx_part,typst_to_docx,docx_to_typst,implementation_t2d,implementation_d2t,notes
M0025,Language / code,named arguments,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0026,Language / code,positional arguments,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0027,Language / code,argument spreading,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0028,Language / code,destructuring binding,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0029,Language / code,if / else,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0030,Language / code,for loop,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0031,Language / code,while loop,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0032,Language / code,break,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0033,Language / code,continue,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0034,Language / code,return,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0035,Language / code,context expression,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0036,Language / code,set rule,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0037,Language / code,show rule,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0038,Language / code,show-set rule,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0039,Language / code,import,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0040,Language / code,include,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0041,Language / code,module member access,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0042,Language / code,method call,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0043,Language / code,array indexing,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0044,Language / code,dictionary access,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0045,Language / code,assignment,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0046,Language / code,compound assignment,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0047,Language / code,comparison operators,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0048,Language / code,boolean operators,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0049,Language / code,arithmetic operators,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0050,Language / code,range construction,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0051,Language / code,field access,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0052,Language / code,closure capture,code construct,No native OOXML language construct; materialized document result plus embedded Typst source,customXml/typx-source.xml,evaluate,none,partial,none,"The converter is a structural parser, not the Typst engine. Literal bindings and static includes are handled; dynamic behavior is preserved in source/raw wrappers."
M0053,Foundations / values,none,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0054,Foundations / values,auto,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0055,Foundations / values,bool,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0056,Foundations / values,int,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0057,Foundations / values,float,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0058,Foundations / values,decimal,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0059,Foundations / values,fraction,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0060,Foundations / values,ratio,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0061,Foundations / values,angle,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0062,Foundations / values,length,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0063,Foundations / values,relative,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0064,Foundations / values,color,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0065,Foundations / values,gradient,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0066,Foundations / values,tiling/pattern,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0067,Foundations / values,stroke,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0068,Foundations / values,alignment,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0069,Foundations / values,direction,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0070,Foundations / values,array,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0071,Foundations / values,dictionary,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0072,Foundations / values,string,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0073,Foundations / values,bytes,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0074,Foundations / values,regex,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0075,Foundations / values,datetime,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0076,Foundations / values,duration,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0077,Foundations / values,version,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0078,Foundations / values,label,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0079,Foundations / values,content,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0080,Foundations / values,selector,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0081,Foundations / values,location,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0082,Foundations / values,counter,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0083,Foundations / values,state,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0084,Foundations / values,function,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0085,Foundations / values,type,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0086,Foundations / values,module,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0087,Foundations / values,plugin,value/type,"Literal property, text, custom property, field, or embedded source depending on use",multiple parts,evaluate,none,partial,none,Values have no standalone DOCX equivalent. They map only when consumed by a document element; source-level identity is retained by the embedded Typst payload.
M0088,Document model,document,element,core/app/custom document properties,docProps/*.xml,high,high,full,full,"Title, author, subject, keywords, language, dates, description, category, and custom values are mapped."
M0089,Document model,metadata,element,"w:docVars, custom properties, semantic metadata",settings.xml / docProps/custom.xml,approximate,approximate,partial,partial,Metadata with no standard core property is stored as a custom property or raw payload.
M0090,Document model,heading,element,w:p with heading style and outline level,word/document.xml,high,high,full,full,Numbering can be represented through numbering styles or SEQ/REF fields; complex show rules are preserved.
M0091,Document model,outline,element,TOC field,word/document.xml,high,high,full,full,Word must update the TOC field to materialize current entries.
M0092,Document model,figure,element,drawing/table/equation plus Caption paragraph and SEQ field,word/document.xml,high,approximate,full,partial,Word has captions but no general figure wrapper. Body and caption association is heuristic in DOCX to Typst.
M0093,Document model,figure.caption,element,Caption style paragraph + SEQ field,word/document.xml,high,high,full,partial,Labels become bookmarks.
M0094,Document model,quote,element,Quote-style paragraph(s),word/document.xml + styles.xml,high,high,full,full,Attribution becomes a right-aligned quote paragraph.
M0095,Document model,footnote,element,w:footnoteReference and footnotes part,word/footnotes.xml,exact,exact,full,full,Standard footnotes and their block content are supported.
M0096,Document model,endnote,conceptual extension,w:endnoteReference and endnotes part,word/endnotes.xml,high,exact,full,full,Typst has native footnotes but no distinct endnote primitive; endnotes use preservation wrappers on the Typst side.
M0097,Document model,ref,element,"REF, PAGEREF, NOTEREF field",word/document.xml,high,high,full,full,Reference form selects field code or hyperlink.
M0098,Document model,link,element,w:hyperlink,word/document.xml + relationships,exact,exact,full,full,Tooltip and internal/external targets are retained.
M0099,Document model,bibliography,element,"bibliography sources, CITATION/BIBLIOGRAPHY fields, or static paragraphs",word/bibliography.xml / document.xml,approximate,approximate,partial,partial,CSL processing and Word bibliography engines differ. Citation keys and visible fallback are retained.
M0100,Document model,cite,element,CITATION field,word/document.xml,high,high,full,partial,Multiple keys and supplements are mapped to field switches where possible.
M0101,Document model,numbering,function,w:numFmt / w:lvlText / field switches,numbering.xml / document.xml,high,high,partial,partial,"Common Arabic, alphabetic, Roman, ordinal, and custom patterns are supported."
M0102,Document model,list,element,numbering definition with bullet format,numbering.xml,high,high,full,full,Marker alignment/layout properties are approximated by indents and tabs.
M0103,Document model,enum,element,numbering definition with numeric format,numbering.xml,high,high,full,full,Nested numbering and starts are supported.
M0104,Document model,terms,element,definition-style paragraphs,word/document.xml,approximate,approximate,full,partial,No semantic WordprocessingML counterpart.
M0105,Document model,table,element,w:tbl,word/document.xml,high,high,full,full,"Rows, cells, widths, alignment, borders, shading, layout, caption, and description are covered."
M0106,Document model,table.cell,element,w:tc / w:tcPr,word/document.xml,high,high,full,full,"Column spans, row spans, cell margins, vertical alignment, direction, shading, and borders are supported."
M0107,Document model,table.header,configuration,w:tblHeader row property,word/document.xml,high,high,full,full,Repeating header rows map directly.
M0108,Document model,divider,element,paragraph bottom border,word/document.xml,high,approximate,full,partial,Word has no thematic-break element; a bordered empty paragraph is used.
M0109,Document model,paragraph,element,w:p,word/document.xml,exact,exact,full,full,Paragraph style and direct formatting are merged into the intermediate model.
M0110,Document model,linebreak,element,w:br,word/document.xml,exact,exact,full,full,Page and column break variants are also covered.
M0111,Document model,smartquote,element,literal typographic quotation marks,word/document.xml,high,approximate,partial,partial,"Word smart-quote behavior is an application option, not a persistent semantic node."
M0112,Text formatting,text.font,property,w:rFonts,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0113,Text formatting,text.size,property,w:sz / w:szCs,word/document.xml + styles.xml,exact,exact,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0114,Text formatting,text.weight,property,w:b / font weight,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0115,Text formatting,text.style,property,w:i,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0116,Text formatting,text.fill,property,w:color,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0117,Text formatting,text.stroke,property,w:outline or text effects,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0118,Text formatting,text.tracking,property,w:spacing,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0119,Text formatting,text.stretch,property,w:w,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0120,Text formatting,text.baseline,property,w:position,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0121,Text formatting,text.lang,property,w:lang/@w:val,word/document.xml + styles.xml,exact,exact,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0122,Text formatting,text.region,property,BCP 47 region in w:lang,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0123,Text formatting,text.script,property,w:rFonts eastAsia/cs + w:lang,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0124,Text formatting,text.dir,property,w:rtl / paragraph bidi,word/document.xml + styles.xml,high,high,full,full,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0125,Text formatting,text.hyphenate,property,w:suppressAutoHyphens/document settings,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0126,Text formatting,text.costs,property,no direct counterpart,word/document.xml + styles.xml,none,none,none,none,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0127,Text formatting,text.top-edge,property,font metrics only,word/document.xml + styles.xml,none,none,none,none,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0128,Text formatting,text.bottom-edge,property,font metrics only,word/document.xml + styles.xml,none,none,none,none,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0129,Text formatting,text.discretionary-ligatures,property,OpenType feature settings,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0130,Text formatting,text.historical-ligatures,property,OpenType feature settings,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0131,Text formatting,text.number-type,property,OpenType feature settings,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0132,Text formatting,text.number-width,property,OpenType feature settings,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0133,Text formatting,text.slashed-zero,property,OpenType feature settings,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0134,Text formatting,text.fractions,property,OpenType feature settings,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0135,Text formatting,text.stylistic-set,property,OpenType feature settings,word/document.xml + styles.xml,approximate,approximate,partial,partial,Variable-font axes and arbitrary OpenType features may be retained only as raw formatting.
M0136,Text formatting,strong,element,w:b,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0137,Text formatting,emph,element,w:i,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0138,Text formatting,underline,element,w:u,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0139,Text formatting,overline,element,w:bar/text effect,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0140,Text formatting,strike,element,w:strike,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0141,Text formatting,highlight,element,w:highlight or w:shd,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0142,Text formatting,smallcaps,element,w:smallCaps,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0143,Text formatting,upper,element,w:caps or transformed text,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0144,Text formatting,lower,element,transformed text,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0145,Text formatting,super,element,w:vertAlign=superscript,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0146,Text formatting,sub,element,w:vertAlign=subscript,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0147,Text formatting,hide,element,w:vanish or omitted content,word/document.xml,high,high,full,full,Case transformation can be semantic in Typst but is often materialized as text in Word.
M0148,Paragraph formatting,par.leading,property,w:spacing/@w:line,word/document.xml + styles.xml,approximate,approximate,partial,partial,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0149,Paragraph formatting,par.spacing,property,w:spacing before/after,word/document.xml + styles.xml,high,high,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
M0150,Paragraph formatting,par.justify,property,w:jc=both,word/document.xml + styles.xml,high,high,full,full,"Typst and Word use different line-layout algorithms, so pagination can differ even when properties map."
